run,method,depth,iterations,inner_time,outer_time
1,compute_iterations,9,88,2.000,8.912860
1,compute_iterations,9,88,1.000,6.8294239
1,compute_iterations,10,237,5.000,10.010641
1,compute_iterations,10,198,4.000,9.3738109
1,compute_iterations,10,158,3.000,12.782558
1,compute_iterations,10,79,2.000,5.0960571
1,compute_iterations,10,79,1.000,13.2458699
1,compute_iterations,11,216,5.000,8.645621
1,compute_iterations,11,180,4.000,9.110740
1,compute_iterations,11,144,3.000,7.929442
1,compute_iterations,11,108,2.000,6.915667
1,compute_iterations,11,72,1.000,8.0018389
1,compute_iterations,12,198,5.000,10.064004
1,compute_iterations,12,165,4.000,9.7795646
1,compute_iterations,12,132,3.000,7.8363192
1,compute_iterations,12,99,2.000,7.375956
1,compute_iterations,12,33,1.000,6.2232462
1,compute_iterations,13,152,5.000,10.236018
1,compute_iterations,13,152,4.000,18.989377
1,compute_iterations,13,122,3.000,7.4721772
1,compute_iterations,13,61,2.000,11.615362
1,compute_iterations,13,61,1.000,8.234639
1,compute_iterations,14,142,5.000,10.519842
1,compute_iterations,14,142,4.000,9.820203
1,compute_iterations,14,113,3.000,6.673761
1,compute_iterations,14,85,2.000,14.7201732
1,compute_iterations,14,57,1.000,6.101440
1,compute_iterations,15,158,5.000,8.747937
1,compute_iterations,15,106,4.000,9.3823049
1,compute_iterations,15,106,3.000,7.4236198
1,compute_iterations,15,79,2.000,8.2524417
1,compute_iterations,15,53,1.000,5.1182009
1,compute_iterations,16,149,5.000,8.920190
1,compute_iterations,16,124,4.000,11.531321
1,compute_iterations,16,99,3.000,9.7921172
1,compute_iterations,16,75,2.000,7.4452348
1,compute_iterations,16,50,1.000,15.894736
1,compute_iterations,17,140,5.000,10.304768
1,compute_iterations,17,117,4.000,11.817067
1,compute_iterations,17,93,3.000,13.7443882
1,compute_iterations,17,70,2.000,10.806224
1,compute_iterations,17,47,1.000,5.4523511
1,compute_iterations,18,132,5.000,13.257395
1,compute_iterations,18,110,4.000,8.5680402
1,compute_iterations,18,66,3.000,8.391860
1,compute_iterations,18,66,2.000,10.0083302
1,compute_iterations,18,22,1.000,7.174808
1,compute_iterations,19,125,5.000,10.4060669
1,compute_iterations,19,104,4.000,10.8093459
1,compute_iterations,19,84,3.000,6.929479
1,compute_iterations,19,63,2.000,6.4229428
1,compute_iterations,19,21,1.000,4.164118
1,compute_iterations,20,119,5.000,13.1080359
1,compute_iterations,20,79,4.000,7.442502
1,compute_iterations,20,79,3.000,286.501819
1,compute_iterations,20,60,2.000,7.9586109
1,compute_iterations,20,20,1.000,4.1832338
2,compute_iterations,0,0,5.000,9.346072
2,compute_iterations,0,0,4.000,5.809536
2,compute_iterations,0,0,3.000,5.792478
2,compute_iterations,0,0,2.000,5.866769
2,compute_iterations,0,0,1.000,5.402087
2,compute_iterations,1,2365,5.000,11.0001959
2,compute_iterations,1,1972,4.000,9.2133129
2,compute_iterations,1,1578,3.000,11.0773051
2,compute_iterations,1,1184,2.000,5.479023
2,compute_iterations,1,790,1.000,5.042548
2,compute_iterations,2,1184,5.000,11.577066
2,compute_iterations,2,987,4.000,17.658883
2,compute_iterations,2,790,3.000,7.4345399
2,compute_iterations,2,593,2.000,6.4318789
2,compute_iterations,2,395,1.000,4.6912678
2,compute_iterations,3,790,5.000,9.74006
2,compute_iterations,3,658,4.000,10.661460
2,compute_iterations,3,527,3.000,7.3616011
2,compute_iterations,3,264,2.000,7.698826
2,compute_iterations,3,264,1.000,9.660281
2,compute_iterations,4,592,5.000,17.519224
2,compute_iterations,4,494,4.000,12.516253
2,compute_iterations,4,395,3.000,9.218570
2,compute_iterations,4,198,2.000,5.5235079
2,compute_iterations,4,198,1.000,6.891112
2,compute_iterations,5,474,5.000,10.7920099
2,compute_iterations,5,395,4.000,8.619924
2,compute_iterations,5,316,3.000,13.2604198
2,compute_iterations,5,237,2.000,20.222102
2,compute_iterations,5,158,1.000,8.821725
2,compute_iterations,6,330,5.000,8.702701
2,compute_iterations,6,330,4.000,8.898802
2,compute_iterations,6,198,3.000,9.343476
2,compute_iterations,6,198,2.000,8.8881390
2,compute_iterations,6,132,1.000,7.4965859
2,compute_iterations,7,339,5.000,9.7981668
2,compute_iterations,7,283,4.000,10.629753
2,compute_iterations,7,226,3.000,10.408323
2,compute_iterations,7,113,2.000,8.643965
2,compute_iterations,7,113,1.000,4.6171132
2,compute_iterations,8,297,5.000,12.240760
2,compute_iterations,8,198,4.000,9.0141652
2,compute_iterations,8,198,3.000,7.8496311
2,compute_iterations,8,99,2.000,8.4084438
2,compute_iterations,8,99,1.000,5.811082
2,compute_iterations,9,264,5.000,12.030373
2,compute_iterations,9,176,4.000,7.4161418
2,compute_iterations,9,176,3.000,9.500224
2,compute_iterations,9,132,2.000,8.0582378
2,compute_iterations,9,88,1.000,6.220633
2,compute_iterations,10,237,5.000,11.6422946
2,compute_iterations,10,158,4.000,8.608466
2,compute_iterations,10,119,3.000,8.1467982
2,compute_iterations,10,119,2.000,10.372061
2,compute_iterations,10,79,1.000,9.516340
2,compute_iterations,11,216,5.000,10.1169274
2,compute_iterations,11,144,4.000,7.6177008
2,compute_iterations,11,144,3.000,7.8948727
2,compute_iterations,11,72,2.000,7.4421101
2,compute_iterations,11,72,1.000,5.5710541
2,compute_iterations,12,198,5.000,11.5700269
2,compute_iterations,12,165,4.000,10.035523
2,compute_iterations,12,132,3.000,8.7512022
2,compute_iterations,12,66,2.000,8.0138030
2,compute_iterations,12,66,1.000,7.0482662
2,compute_iterations,13,183,5.000,10.957474
2,compute_iterations,13,152,4.000,8.6677871
2,compute_iterations,13,122,3.000,11.9377592
2,compute_iterations,13,61,2.000,7.0714132
2,compute_iterations,13,61,1.000,11.5117891
2,compute_iterations,14,142,4.000,9.064767
2,compute_iterations,14,113,3.000,6.874207
2,compute_iterations,14,57,2.000,5.804868
2,compute_iterations,14,57,1.000,5.0837112
2,compute_iterations,15,158,5.000,10.227898
2,compute_iterations,15,132,4.000,13.682799
2,compute_iterations,15,106,3.000,25.877699
2,compute_iterations,15,53,2.000,8.8687671
2,compute_iterations,15,53,1.000,5.687436
2,compute_iterations,16,149,5.000,10.9690268
2,compute_iterations,16,124,4.000,8.6815879
2,compute_iterations,16,99,3.000,7.4263098
2,compute_iterations,16,75,2.000,7.8241231
2,compute_iterations,16,50,1.000,5.669222
2,compute_iterations,17,140,5.000,8.792735
2,compute_iterations,17,93,4.000,9.9826961
2,compute_iterations,17,93,3.000,8.4716331
2,compute_iterations,17,70,2.000,7.5420401
2,compute_iterations,17,47,1.000,7.3965841
2,compute_iterations,18,132,5.000,12.3202878
2,compute_iterations,18,110,4.000,10.2104027
2,compute_iterations,18,88,3.000,8.053227
2,compute_iterations,18,44,2.000,5.380498
2,compute_iterations,18,44,1.000,7.9158588
2,compute_iterations,19,125,5.000,10.255281
2,compute_iterations,19,104,4.000,10.765709
2,compute_iterations,19,84,3.000,7.7282293
2,compute_iterations,19,42,2.000,5.857170
2,compute_iterations,19,42,1.000,5.8526437
2,compute_iterations,20,119,5.000,8.889501
2,compute_iterations,20,99,4.000,7.757596
2,compute_iterations,20,79,3.000,14.628726
2,compute_iterations,20,60,2.000,8.639873
2,compute_iterations,20,40,1.000,6.315784
